GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADOLE001,NAME_M,ADOLM001
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",24974,"Autauga County, Alabama",1081
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",27317,"Baldwin County, Alabama",711
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",16824,"Barbour County, Alabama",798
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",18431,"Bibb County, Alabama",1619
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",20532,"Blount County, Alabama",708
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",17580,"Bullock County, Alabama",2055
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",18390,"Butler County, Alabama",714
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",21374,"Calhoun County, Alabama",489
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",21071,"Chambers County, Alabama",1366
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",21811,"Cherokee County, Alabama",1556
"G0100210","2011-2015",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",21399,"Chilton County, Alabama",1446
"G0100230","2011-2015",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",20755,"Choctaw County, Alabama",1380
"G0100250","2011-2015",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",20064,"Clarke County, Alabama",1469
"G0100270","2011-2015",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",18905,"Clay County, Alabama",1067
"G0100290","2011-2015",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",20151,"Cleburne County, Alabama",1357
"G0100310","2011-2015",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",24936,"Coffee County, Alabama",854
"G0100330","2011-2015",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",22546,"Colbert County, Alabama",917
"G0100350","2011-2015",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",15968,"Conecuh County, Alabama",1369
"G0100370","2011-2015",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",17519,"Coosa County, Alabama",961
"G0100390","2011-2015",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",20977,"Covington County, Alabama",723
"G0100410","2011-2015",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",20585,"Crenshaw County, Alabama",1229
"G0100430","2011-2015",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",20881,"Cullman County, Alabama",728
"G0100450","2011-2015",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",22566,"Dale County, Alabama",911
"G0100470","2011-2015",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",17808,"Dallas County, Alabama",788
"G0100490","2011-2015",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",18411,"DeKalb County, Alabama",588
"G0100510","2011-2015",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",24381,"Elmore County, Alabama",941
"G0100530","2011-2015",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",17045,"Escambia County, Alabama",848
"G0100550","2011-2015",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",20500,"Etowah County, Alabama",518
"G0100570","2011-2015",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",19545,"Fayette County, Alabama",1183
"G0100590","2011-2015",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",18595,"Franklin County, Alabama",974
"G0100610","2011-2015",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",20224,"Geneva County, Alabama",1298
"G0100630","2011-2015",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",13611,"Greene County, Alabama",1741
"G0100650","2011-2015",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",18877,"Hale County, Alabama",1217
"G0100670","2011-2015",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",22931,"Henry County, Alabama",1429
"G0100690","2011-2015",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",23925,"Houston County, Alabama",460
"G0100710","2011-2015",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",20066,"Jackson County, Alabama",779
"G0100730","2011-2015",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",27240,"Jefferson County, Alabama",404
"G0100750","2011-2015",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",20130,"Lamar County, Alabama",2359
"G0100770","2011-2015",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",24215,"Lauderdale County, Alabama",787
"G0100790","2011-2015",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",21369,"Lawrence County, Alabama",1033
"G0100810","2011-2015",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",24356,"Lee County, Alabama",772
"G0100830","2011-2015",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",25569,"Limestone County, Alabama",1111
"G0100850","2011-2015",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",18429,"Lowndes County, Alabama",2698
"G0100870","2011-2015",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",17374,"Macon County, Alabama",698
