GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,NAME_E,ADKXE001,ADKXE002,ADKXE003,ADKXE004,ADKXE005,ADKXE006,ADKXE007,ADKXE008,ADKXE009,ADKXE010,NAME_M,ADKXM001,ADKXM002,ADKXM003,ADKXM004,ADKXM005,ADKXM006,ADKXM007,ADKXM008,ADKXM009,ADKXM010
"G0100010","2011-2015",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",55221,42741,10315,230,534,24,511,866,74,792,"Autauga County, Alabama",0,428,254,87,176,31,457,300,76,281
"G0100030","2011-2015",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",195121,168646,18735,1166,1307,0,1870,3397,738,2659,"Baldwin County, Alabama",0,727,577,343,329,27,676,669,445,584
"G0100050","2011-2015",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",26932,12756,12595,52,244,0,928,357,5,352,"Barbour County, Alabama",0,239,205,43,158,21,283,151,9,151
"G0100070","2011-2015",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",22604,17327,4846,93,21,0,7,310,0,310,"Bibb County, Alabama",0,15,232,44,27,21,15,228,21,228
"G0100090","2011-2015",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",57710,54881,884,326,83,0,555,981,22,959,"Blount County, Alabama",0,325,117,222,67,27,275,215,29,211
"G0100110","2011-2015",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",10678,2845,7550,124,22,0,0,137,0,137,"Bullock County, Alabama",0,482,504,147,25,18,18,140,18,140
"G0100130","2011-2015",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",20354,11023,8961,13,81,0,59,217,0,217,"Butler County, Alabama",0,83,101,12,74,21,64,62,21,62
"G0100150","2011-2015",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",116648,87615,23895,223,1000,7,1162,2746,182,2564,"Calhoun County, Alabama",0,439,437,107,142,11,424,461,192,441
"G0100170","2011-2015",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",34079,19652,13738,57,260,9,12,351,18,333,"Chambers County, Alabama",0,84,169,31,26,16,21,147,26,144
"G0100190","2011-2015",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",26008,24167,1281,144,88,4,17,307,5,302,"Cherokee County, Alabama",0,64,131,63,86,7,21,109,8,107
"G0100210","2011-2015",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",43819,36828,4528,158,126,0,1805,374,22,352,"Chilton County, Alabama",0,470,109,84,75,24,470,166,25,165
"G0100230","2011-2015",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",13395,7487,5801,2,0,0,2,103,0,103,"Choctaw County, Alabama",0,5,65,4,18,18,5,65,18,65
"G0100250","2011-2015",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",25070,13427,11346,7,90,96,24,80,10,70,"Clarke County, Alabama",0,48,187,8,91,148,39,77,15,71
"G0100270","2011-2015",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",13537,11065,1963,105,0,0,192,212,22,190,"Clay County, Alabama",0,124,153,48,18,18,146,164,30,161
"G0100290","2011-2015",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",15002,14098,442,33,53,0,85,291,22,269,"Cleburne County, Alabama",0,112,108,45,65,18,79,125,34,118
"G0100310","2011-2015",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",50884,39067,8829,475,627,0,398,1488,11,1477,"Coffee County, Alabama",0,230,228,123,98,27,207,270,9,270
"G0100330","2011-2015",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",54444,43311,8478,312,178,35,687,1443,274,1169,"Colbert County, Alabama",0,261,301,128,59,39,358,347,187,311
"G0100350","2011-2015",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",12865,6710,5752,37,6,0,2,358,0,358,"Conecuh County, Alabama",0,55,203,39,11,18,3,215,18,215
"G0100370","2011-2015",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",11027,7427,3384,7,0,0,0,209,0,209,"Coosa County, Alabama",0,18,175,11,18,18,18,175,18,175
